id,latitude,longitude,count
9076,32.795342,-117.349153,1
55022,34.135228,-119.496517,1
83625,34.133595,-119.590543,1
112845,34.13526,-119.680507,1
56809,34.135615,-119.700867,1
58079,34.135633,-119.701028,1
76783,34.14059,-119.713122,1
111061,34.140145,-119.713328,1
140099,36.685,-121.861667,1
97877,36.762948,-121.913685,1
42518,36.762948,-121.913685,1
52309,36.733333,-121.961667,1
28016,48.324193,-123.445022,1
20226,48.324193,-123.445022,1
134410,33.352716,-118.311424,1
81303,34.192565,-119.697933,1
130348,36.753465,-121.910262,1
110556,36.8004,-121.9539,1
59451,36.8004,-121.9539,1
21725,36.800454,-121.953971,1
56786,36.708425,-121.97767,1
116147,36.705507,-121.984413,1
135693,36.709292,-121.996348,1
83583,36.8,-122,1
78531,33.14645,-117.48845,1
40346,36.7365,-121.867093,1
25372,36.704578,-121.870498,1
28471,36.74175,-121.84921,1
8498,36.741757,-121.849218,1
83107,36.70415,-121.865605,1
127198,36.696182,-121.866762,1
73144,36.809238,-121.876718,1
29141,33.43,-117.7,1
136176,33.463953,-117.929467,1
20477,33.463953,-117.929467,1
50493,34.242668,-119.601232,1
44350,34.194207,-119.65816,1
16401,34.167293,-119.677567,1
142371,34.205748,-119.691612,1
134390,36.701136,-121.864602,1
96904,36.816675,-121.864815,1
54505,36.763652,-121.866615,1
124364,36.744203,-121.871115,1
54506,36.783052,-121.873423,1
110045,36.8,-122,1
68957,36.8,-122,1
40550,36.8,-122,1
141089,33.44542,-117.937722,1
88138,33.44542,-117.937722,1
3537,36.805507,-121.854848,1
49007,36.775055,-121.878765,1
87578,36.747563,-121.879747,1
63644,36.743705,-121.881935,1
22199,37.748891,-122.983594,1
51545,48.292277,-123.599571,1
108758,33.43,-117.7,1
11347,33.43,-117.7,1
110568,33.361613,-117.752115,1
123013,34.180867,-119.699264,1
142370,36.794937,-121.822482,1
14942,36.8095,-121.865912,1
61336,36.806953,-121.869708,1
123031,36.75045,-121.875328,1
31437,33.43,-117.7,1
129911,33.48327,-117.747937,1
1199,33.55,-117.9,1
43045,34.197108,-119.697933,1
23949,34.237989,-119.714413,1
54973,34.206195,-119.719906,1
13656,34.242743,-119.862728,1
5776,36.756673,-121.868187,1
58076,36.747365,-121.877995,1
122537,36.781585,-121.900332,1
113760,36.900272,-121.935479,1
121989,34.247071,-119.697933,1
129420,36.8,-122,1
58053,36.8,-122,1
17228,48.542551,-123.008237,1
99591,36.798363,-121.893628,1
103730,36.7778,-121.904735,1
102359,36.690853,-121.959085,1
144677,36.795265,-121.963835,1
132120,36.703333,-121.981667,1
128932,36.703333,-121.981667,1
112847,36.703333,-121.981667,1
61343,36.703333,-121.981667,1
76736,33.642668,-118.300262,1
119782,36.701667,-121.935,1
52782,36.701667,-121.935,1
105961,36.706235,-121.945008,1
92177,36.700725,-121.945013,1
108256,36.698225,-121.948243,1
144676,36.8,-122,1
5746,36.8,-122,1
2660,36.8,-122,1
131373,48.33241,-123.464935,1
44341,48.299798,-123.58502,1
5694,34.126468,-119.973548,1
39845,34.133527,-119.975187,1
85812,34.126763,-119.983617,1
70904,36.646,-121.92266,1
63687,36.646,-121.92266,1
129431,37.4,-122.75,1
115215,36.835977,-121.980113,1
91430,36.835977,-121.980113,1
38620,36.828698,-121.989563,1
14918,36.669813,-121.995528,1
138456,36.63206,-121.999741,1
109673,36.63206,-121.999741,1
8031,36.63206,-121.999741,1
51225,36.823458,-122.005537,1
123590,36.822003,-122.005772,1
5745,36.584773,-122.008744,1
76180,36.861975,-122.024425,1
111495,32.786801,-117.33658,1
29919,32.786801,-117.33658,1
133965,33.35594,-117.724071,1
24071,33.362422,-117.726345,1
3485,33.559657,-118.249014,1
113309,33.559387,-118.25022,1
120256,36.78195,-121.894337,1
92201,36.632316,-121.985452,1
85361,36.632316,-121.985452,1
102828,36.695918,-122.001919,1
89901,36.695918,-122.001919,1
17188,36.695918,-122.001919,1
3640,48.268516,-123.486274,1
1098,57.908329,-152.652742,1
65389,57.893311,-152.664222,1
26322,33.457222,-117.893771,1
143901,35.17,-120.73,1
117441,36.808513,-121.862723,1
42553,36.696667,-121.9,1
93272,36.823555,-121.931807,1
42102,36.841257,-121.944833,1
20913,36.8,-122,1
125867,57.593033,-133.7838,1
85351,58.063783,-134.101283,1
84501,58.063783,-134.101283,1
67250,58.07105,-134.1256,1
64946,58.07105,-134.1256,1
15441,58.07105,-134.1256,1
102441,57.755793,-135.186242,1
30007,57.755793,-135.186242,1
2751,57.755793,-135.186242,1
42535,36.792855,-121.937148,1
36349,36.8,-122,1
